V(Au),sV(Au),V(3C),sV(3C),T(3C),sT(3C)
5.948187738000000024e+01,8.024277000000000493e-02,7.312640000000000384e+01,3.660000000000000059e-02,1.725000000000000000e+03,4.242640687000000099e+01
5.942564588999999842e+01,5.374467299999999975e-02,7.307019999999999982e+01,4.429999999999999910e-02,1.703000000000000000e+03,4.313351364999999760e+01
5.943484468999999848e+01,2.684653999999999860e-02,7.302589999999999293e+01,4.420000000000000318e-02,1.846000000000000000e+03,4.737615433999999937e+01
5.940571392999999745e+01,5.030509600000000053e-02,7.297289999999999566e+01,3.649999999999999772e-02,1.821000000000000000e+03,4.384062043000000131e+01
5.939905911000000316e+01,4.604130800000000301e-02,7.298290000000000077e+01,3.649999999999999772e-02,1.862000000000000000e+03,4.101219331000000068e+01
5.944013488000000223e+01,4.398995800000000261e-02,7.299129999999999541e+01,3.649999999999999772e-02,1.940000000000000000e+03,3.464823228000000199e+01
5.937254940999999775e+01,4.003779100000000313e-02,7.289029999999999632e+01,3.640000000000000180e-02,2.022000000000000000e+03,3.606244584000000231e+01
5.935093897000000140e+01,3.837642000000000136e-02,7.286769999999999925e+01,3.640000000000000180e-02,2.081000000000000000e+03,3.676955261999999891e+01
5.934074432999999971e+01,3.725861600000000134e-02,7.287820000000000675e+01,4.410000000000000031e-02,2.007000000000000000e+03,3.394112549999999828e+01
5.932253469999999851e+01,4.216133300000000222e-02,7.282739999999999725e+01,3.640000000000000180e-02,2.155000000000000000e+03,3.394112549999999828e+01
5.926366821999999956e+01,5.615988599999999914e-02,7.281610000000000582e+01,4.410000000000000031e-02,2.205000000000000000e+03,6.363961030999999657e+00
5.925816309999999731e+01,3.951450799999999680e-02,7.279529999999999745e+01,4.399999999999999745e-02,2.112000000000000000e+03,9.192388154999999728e+00
5.928060546999999758e+01,4.155677299999999824e-02,7.280230000000000246e+01,4.780000000000000221e-02,2.134000000000000000e+03,1.484924239999999962e+01
5.699726557999999699e+01,6.090556800000000021e-02,7.005410000000000537e+01,4.179999999999999688e-02,1.465000000000000000e+03,4.171930008999999728e+01
5.700712227999999726e+01,5.169951999999999881e-02,6.996580000000000155e+01,3.450000000000000289e-02,1.644000000000000000e+03,3.181980515000000054e+01
5.696382847000000282e+01,5.331435300000000183e-02,6.994589999999999463e+01,4.170000000000000095e-02,1.701000000000000000e+03,3.818376617999999922e+01
5.694322847000000110e+01,4.673620700000000183e-02,6.990770000000000550e+01,4.170000000000000095e-02,1.726000000000000000e+03,1.767766952999999930e+01
5.693657010999999812e+01,4.220003900000000169e-02,6.985380000000000678e+01,4.529999999999999999e-02,1.819000000000000000e+03,2.474873734000000169e+01
5.693661277999999726e+01,4.460461500000000024e-02,6.984470000000000312e+01,4.529999999999999999e-02,1.848000000000000000e+03,1.909188308999999961e+01
5.693451198999999718e+01,3.924806899999999654e-02,6.981229999999999336e+01,4.519999999999999712e-02,1.937000000000000000e+03,9.192388154999999728e+00
5.690930655999999743e+01,3.820612500000000050e-02,6.979059999999999775e+01,4.519999999999999712e-02,1.975000000000000000e+03,3.394112549999999828e+01
5.689207191999999935e+01,4.155781399999999848e-02,6.979370000000000118e+01,4.159999999999999809e-02,1.971000000000000000e+03,4.313351364999999760e+01
5.689030499999999790e+01,3.873790800000000145e-02,6.974509999999999366e+01,4.159999999999999809e-02,2.097000000000000000e+03,1.937472579999999880e+02
5.694278627999999998e+01,4.523706100000000202e-02,6.945109999999999673e+01,4.130000000000000338e-02,1.680000000000000000e+03,3.676955261999999891e+01
5.799626737999999904e+01,1.206870699999999970e-02,7.069400000000000261e+01,4.599999999999999922e-02,1.974000000000000000e+03,1.279863273999999933e+02
5.814440327999999880e+01,2.586239300000000088e-02,7.081100000000000705e+01,4.240000000000000019e-02,2.079000000000000000e+03,1.619274528999999916e+02
5.835933962000000008e+01,2.602901100000000120e-02,7.134659999999999513e+01,4.290000000000000063e-02,1.957000000000000000e+03,6.010407639999999674e+01
5.775458245000000090e+01,1.070048900000000053e-02,7.080939999999999657e+01,4.240000000000000019e-02,1.733000000000000000e+03,8.697413409000000684e+01
5.774889406999999864e+01,9.425268000000000534e-03,7.078189999999999316e+01,3.500000000000000333e-02,1.696000000000000000e+03,9.828784258000000307e+01
5.773725486000000018e+01,8.211566700000000329e-02,7.077639999999999532e+01,3.500000000000000333e-02,1.813000000000000000e+03,1.060660172000000046e+02
5.778231444000000039e+01,1.012725750000000036e-01,7.075100000000000477e+01,3.500000000000000333e-02,1.833000000000000000e+03,1.202081527999999935e+02
5.782325502999999856e+01,1.394185769999999880e-01,7.072320000000000562e+01,3.500000000000000333e-02,1.900000000000000000e+03,1.265721137999999968e+02
5.786365480999999988e+01,1.433888670000000032e-01,7.072129999999999939e+01,3.500000000000000333e-02,1.911000000000000000e+03,1.110157645999999971e+02
5.796437774000000331e+01,7.127937400000000645e-02,7.073720000000000141e+01,3.500000000000000333e-02,1.966000000000000000e+03,8.485281374000000199e+01
5.794854835999999665e+01,7.437233499999999775e-02,7.074190000000000111e+01,3.500000000000000333e-02,2.043000000000000000e+03,2.616295089999999846e+01
5.794959398999999678e+01,2.557972700000000002e-02,7.076909999999999457e+01,4.150000000000000216e-02,2.122000000000000000e+03,4.525483400000000245e+01
5.790777698000000129e+01,4.052268199999999737e-02,7.066100000000000136e+01,3.500000000000000333e-02,1.924000000000000000e+03,1.697056274999999914e+01
5.783540442999999698e+01,1.933847799999999922e-02,7.059420000000000073e+01,3.690000000000000224e-02,1.843000000000000000e+03,1.272792205999999915e+01
5.645458337000000171e+01,3.999584800000000051e-02,6.931629999999999825e+01,3.599999999999999728e-02,1.715000000000000000e+03,4.171930008999999728e+01
5.648219796000000059e+01,4.559530600000000211e-02,6.936629999999999541e+01,3.599999999999999728e-02,1.767000000000000000e+03,2.404163056000000154e+01
5.646774047000000252e+01,4.776601800000000037e-02,6.935800000000000409e+01,3.409999999999999837e-02,1.762000000000000000e+03,2.192031022000000107e+01
5.646529145000000227e+01,4.553132800000000285e-02,6.931950000000000500e+01,3.599999999999999728e-02,1.939000000000000000e+03,5.020458145999999999e+01
5.647013119999999731e+01,4.605286699999999733e-02,6.931910000000000593e+01,3.599999999999999728e-02,1.967000000000000000e+03,1.824335494999999980e+02
5.649107862000000324e+01,6.608920199999999967e-02,6.935320000000000107e+01,3.599999999999999728e-02,1.973000000000000000e+03,3.323401872000000168e+01
5.652089878000000311e+01,4.998016100000000211e-02,6.938890000000000668e+01,3.610000000000000014e-02,2.084000000000000000e+03,5.798275605999999982e+01
5.650054714000000189e+01,4.070346400000000170e-02,6.939260000000000161e+01,3.610000000000000014e-02,1.964000000000000000e+03,6.293250352999999819e+01
5.652858550999999920e+01,4.031981600000000138e-02,6.939419999999999789e+01,3.610000000000000014e-02,2.175000000000000000e+03,9.475230867999999873e+01
5.656424830000000270e+01,5.583982400000000318e-02,6.944029999999999347e+01,3.610000000000000014e-02,2.108000000000000000e+03,7.424621202000000153e+01
5.649697506999999774e+01,3.407597500000000140e-02,6.938710000000000377e+01,4.390000000000000152e-02,1.922000000000000000e+03,3.040559159000000022e+01
5.652590071000000194e+01,5.226214099999999807e-02,6.942019999999999413e+01,3.610000000000000014e-02,1.856000000000000000e+03,4.949747467999999984e+00
5.618133258999999669e+01,6.415015999999999947e-03,6.882720000000000482e+01,4.089999999999999886e-02,1.675000000000000000e+03,2.192031022000000107e+01
5.628475384000000048e+01,6.169397399999999865e-02,6.884109999999999729e+01,3.570000000000000256e-02,1.756000000000000000e+03,7.566042559000000267e+01
5.640488358999999718e+01,9.275948000000000526e-02,6.881889999999999930e+01,3.570000000000000256e-02,1.911000000000000000e+03,1.484924239999999998e+02
5.643494302999999945e+01,9.224670000000000092e-02,6.884739999999999327e+01,4.440000000000000197e-02,1.861000000000000000e+03,1.336431815999999912e+02
5.651537789999999717e+01,8.797342700000000681e-02,6.885450000000000159e+01,3.570000000000000256e-02,1.866000000000000000e+03,8.768124086999999633e+01
5.665073241999999709e+01,6.274482500000000407e-02,6.907410000000000139e+01,3.579999999999999849e-02,2.024000000000000000e+03,8.768124086999999633e+01
5.620421355999999946e+01,8.242398099999999339e-02,6.837539999999999907e+01,3.529999999999999805e-02,2.178000000000000000e+03,1.909188308999999961e+01
5.617816935999999828e+01,1.368209559999999936e-01,6.844459999999999411e+01,3.540000000000000091e-02,1.716000000000000000e+03,5.798275605999999982e+01
5.504507873000000018e+01,5.088411300000000165e-02,6.729179999999999495e+01,3.459999999999999881e-02,1.767000000000000000e+03,1.527350647000000095e+02
5.532423478999999844e+01,3.091436100000000131e-02,6.740139999999999532e+01,3.969999999999999918e-02,1.790000000000000000e+03,1.244507935000000032e+02
5.547423236000000202e+01,7.704362999999999663e-03,6.747990000000000066e+01,3.980000000000000204e-02,1.865000000000000000e+03,1.407142494999999940e+02
6.416773833999999965e+01,5.745421400000000345e-02,7.832070000000000221e+01,5.430000000000000104e-02,1.159000000000000000e+03,1.689985207000000003e+02
6.417274236999999459e+01,5.662362800000000224e-02,7.833759999999999479e+01,5.109999999999999959e-02,1.581000000000000000e+03,7.778174592999999959e+01
6.457069201999999564e+01,1.138101640000000053e-01,7.855970000000000653e+01,5.129999999999999838e-02,1.637000000000000000e+03,1.343502883999999931e+01
6.252113685999999859e+01,1.476637199999999983e-02,7.655450000000000443e+01,4.259999999999999898e-02,1.635000000000000000e+03,3.040559159000000022e+01
6.268539985000000314e+01,4.737456000000000306e-02,7.638519999999999754e+01,5.249999999999999806e-02,1.913000000000000000e+03,7.071067810000000176e-01
6.281861571999999683e+01,4.545645599999999925e-02,7.638299999999999557e+01,5.249999999999999806e-02,1.928000000000000000e+03,1.484924239999999962e+01
6.280220661999999976e+01,1.912144799999999922e-02,7.630370000000000630e+01,5.240000000000000213e-02,2.123000000000000000e+03,2.121320344000000091e+01
6.278388166999999953e+01,7.713897999999999588e-02,7.617300000000000182e+01,5.909999999999999976e-02,2.070000000000000000e+03,2.404163056000000154e+01
6.265256770999999958e+01,1.149700629999999973e-01,7.588439999999999941e+01,5.879999999999999810e-02,2.025000000000000000e+03,1.202081528000000077e+01
6.284106950000000325e+01,9.112683700000000220e-02,7.592249999999999943e+01,5.319999999999999729e-02,2.403000000000000000e+03,5.161879503000000113e+01
6.263712733999999926e+01,3.161923460000000130e-01,7.613559999999999661e+01,4.920000000000000068e-02,2.445000000000000000e+03,6.505382387000000222e+01
6.264041390999999948e+01,2.562203379999999919e-01,7.623629999999999995e+01,5.240000000000000213e-02,2.474000000000000000e+03,5.586143571000000208e+01
6.272156492999999955e+01,1.975980810000000087e-01,7.616870000000000118e+01,5.349999999999999895e-02,2.491000000000000000e+03,2.474873734000000169e+01
6.205131778999999881e+01,1.728776599999999955e-02,7.591049999999999898e+01,4.279999999999999777e-02,1.670000000000000000e+03,5.515432892999999837e+01
6.220073401999999874e+01,5.758997999999999895e-02,7.600260000000000105e+01,4.279999999999999777e-02,1.809000000000000000e+03,2.828427124999999975e+01
6.227603846000000232e+01,8.253550900000000690e-02,7.595789999999999509e+01,4.279999999999999777e-02,1.908000000000000000e+03,4.242640687000000099e+01
6.226659200999999655e+01,5.829414000000000123e-02,7.594350000000000023e+01,4.279999999999999777e-02,1.922000000000000000e+03,4.949747467999999984e+00
6.221440661999999833e+01,1.164528910000000028e-01,7.599930000000000518e+01,4.909999999999999781e-02,2.083000000000000000e+03,4.242640687000000099e+01
6.057285304999999909e+01,8.256898000000000362e-03,7.439639999999999986e+01,5.179999999999999882e-02,1.640000000000000000e+03,4.313351364999999760e+01
6.071266225000000105e+01,2.852167599999999928e-02,7.445889999999999986e+01,4.769999999999999934e-02,1.804000000000000000e+03,4.737615433999999937e+01
6.064575399999999661e+01,2.883511199999999955e-02,7.440869999999999607e+01,5.179999999999999882e-02,2.027000000000000000e+03,4.384062043000000131e+01
6.061225833000000307e+01,5.497549399999999975e-02,7.446720000000000539e+01,5.190000000000000169e-02,2.218000000000000000e+03,4.101219331000000068e+01
