p(en100),sp(en100),v(en100),sv(en100),p(en91),sp(en91),v(en91),sv(en91),p(en85),sp(en85),v(en85),sv(en85)
28.84936946,0.59,147.963,0.0334,0,0,163.18,0.03,0,0.047333333,163.297,0.0703
30.34142647,0.626,147.061,0.0361,36.21059772,0.681576002,145.8076,0.0322,30.29801847,0.411333333,148.4799,0.0454
36.02908786,0.769,144.948,0.0305,36.93389232,0.521333333,145.7995,0.0617,39.40790716,0.591333333,144.4077,0.0791
37.05790484,0.796,144.827,0.0297,39.00639776,0.488876033,145.1087,0.0635,42.20411097,0.792666667,143.9314,0.1316
41.95265863,0.927,142.904,0.0314,44.95429629,0.645912751,142.7193,0.034,44.66279372,0.658,143.1568,0.089
42.0803912,0.93,143.191,0.033,46.4884121,0.853110668,142.2619,0.034,48.1899724,1,141.6112,0.0493
46.08539873,1.041,141.24,0.0293,49.2708043,0.744,141.4162,0.0576,52.94337312,0.814666667,140.6615,0.0401
48.49482571,1.109,140.934,0.0299,51.51236601,0.656300644,140.6285,0.0368,56.19610167,0.907333333,139.5589,0.0716
49.54476375,1.14,140.46,0.0315,54.40173188,1.108258554,140.0158,0.0495,58.01923017,0.914666667,139.1303,0.0208
54.20460844,1.27,139.356,0.0337,55.17316014,0.858,139.8482,0.0507,59.12607854,0.963333333,138.2761,0.0886
56.70010756,1.351,138.739,0.0323,55.95743894,0.872712434,139.2587,0.0342,64.62489923,1.08,136.8797,0.0905
68.53446789,1.723,135.751,0.0322,56.16592433,0.878,139.3164,0.0481,70.96133464,1.216666667,135.1878,0.1373
73.3124,2.478819059,134.118,0.035,60.42018258,0.963333333,137.9447,0.0444,79.32723505,1.391333333,132.8882,0.1417
80.20466008,2.112,133.049,0.0344,64.61458584,0.660733145,137.0599,0.0408,84.74129891,1.52,131.7517,0.1282
88.53585844,2.403,131.071,0.0289,64.69160826,1.052,136.9131,0.0566,92.944209,1.964666667,130.4702,0.1301
92.9654,0.543058536,129.606,0.0334,80.61159493,0.88068278,132.6294,0.0468,95.86239906,1.824,129.6629,0.1853
,,,,86.13276317,2,131.0104,0.0739,107.9131069,2.055333333,127.4869,0.1465